ID,Frage,Supposed Answer Source
01 - DE,Was ist das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext?,Audit Guideline – 1.1 Motivation
01 - EN,What is the goal of an internal or external audit in the ISMS/BCMS context?,Audit Guideline – 1.1 Motivation
02 - DE,Warum führt KISTERS interne und externe Audits durch und welches Ziel verfolgt das Auditprogramm?,Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme
02 - EN,"Why does KISTERS conduct internal and external audits, and what is the goal of the audit program?",Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme
03 - DE,"Was gehört zum Auditprogramm, das halbjährlich überprüft werden muss?",Audit Guideline – 2 Audit Programme
03 - EN,"What is included in the audit program, which must be reviewed every six months?",Audit Guideline – 2 Audit Programme
04 - DE,Wie wird eine Audit-ID gebildet und wozu wird sie verwendet?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“)
04 - EN,How is an audit ID generated and what is it used for?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“)
05 - DE,"Welche Themen fallen typischerweise in den Scope eines Audits bei KISTERS (z. B. ISMS, BCMS, technische Prüfungen)?",Audit Guideline – 2.2 Audit scopes
05 - EN,"What topics typically fall within the scope of an audit at KISTERS (e.g., ISMS, BCMS, technical audits)?",Audit Guideline – 2.2 Audit scopes
06 - DE,"Was wird von mir als Teilnehmer eines Audits bei der Vorbereitung erwartet (z. B. Dokumente, Verfügbarkeit, Zuständigkeiten)?",Audit Guideline – 2.3.1 Preparation (Participant)
06 - EN,"What is expected of me as a participant in an audit during the preparation phase (e.g., documents, availability, responsibilities)?",Audit Guideline – 2.3.1 Preparation (Participant)
07 - DE,"Wie laufen die nächsten Schritte nach einem Audit ab, wenn ich als Verantwortlicher einen Auditbericht erhalte?",Audit Guideline – 2.3.3 Report / 3 Management of audit findings
07 - EN,"What are the next steps after an audit if I, as the responsible party, receive an audit report?",Audit Guideline – 2.3.3 Report / 3 Management of audit findings
08 - DE,Welche Arten von Abweichungen (Findings) gibt es bei Audits?,Audit Guideline – 2.4 Findings
08 - EN,What types of deviations (findings) are found during audits?,Audit Guideline – 2.4 Findings
09 - DE,Wodurch unterscheidet sich eine „Major deviation“ von einer „Minor deviation“ im Auditkontext?,Audit Guideline – 2.4.1 Major deviation / 2.4.2 Minor deviation
09 - EN,"How does a ""major deviation"" differ from a ""minor deviation"" in an audit context?",Audit Guideline – 2.4.1 Major deviation / 2.4.2 Minor deviation
10 - DE,Wie wird ein Audit-Befund im Ticketsystem dokumentiert?,Audit Guideline – 3.1 Audit Tickets
10 - EN,How is an audit finding documented in the ticketing system?,Audit Guideline – 3.1 Audit Tickets
11 - DE,Wie wird aus einem Audit-Finding ein Ticket und welche Rolle spielt dabei das „Audit Summary Ticket“?,Audit Guideline – 3.1 Organization of audit tickets
11 - EN,"How does an audit finding become a ticket, and what role does the ""Audit Summary Ticket"" play in this process?",Audit Guideline – 3.1 Organization of audit tickets
12 - DE,"Wie ist die Zuordnung von Risiko-Ratings (Very High, High, Medium, …) zu Jira-Prioritäten und Bearbeitungsfristen?",Audit Guideline – 3.2.2 Risk-based ratings
12 - EN,"How are risk ratings (Very High, High, Medium, …) assigned to Jira priorities and processing times?",Audit Guideline – 3.2.2 Risk-based ratings
13 - DE,"Was muss ich beachten, wenn ein Audit-Befund in mehreren Teams Maßnahmen erfordert – wie sollen Tickets angelegt werden?",Audit Guideline – 3.3.2 Multiple Audit Action Tickets per finding
13 - EN,What do I need to consider if an audit finding requires action across multiple teams – how should tickets be created?,Audit Guideline – 3.3.2 Multiple Audit Action Tickets per finding
14 - DE,"Wie gehe ich vor, wenn ein bereits existierendes Ticket ein neues Audit-Finding inhaltlich mit abdeckt?",Audit Guideline – 3.3.3 Re-use of existing tickets
14 - EN,How do I proceed if an existing ticket also covers the content of a new audit finding?,Audit Guideline – 3.3.3 Re-use of existing tickets
15 - DE,"Was ist zu tun, wenn ein Kunde einen Vendor Audit bei KISTERS anfragt oder eigenständig Sicherheitsprüfungen durchführt?",Audit Guideline – 3.4 Special case: vendor audits by clients
15 - EN,What should be done if a customer requests a vendor audit from KISTERS or conducts security checks independently?,Audit Guideline – 3.4 Special case: vendor audits by clients
16 - DE,Wofür ist das Business Continuity Handbook gedacht und wen betreffen seine Regelungen?,BCM Handbook – 1.1 Objective / 1.2 Scope
16 - EN,What is the purpose of the Business Continuity Handbook and who does its regulation affect?,BCM Handbook – 1.1 Objective / 1.2 Scope
