Frage,Antwort,Referenz
Was ist das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives"" ist das Ziel der internen und externen Audits, festzustellen, ob das ISMS (Information Security Management System), einschließlich des integrierten BCMS (Business Continuity Management System) und des DPMS (Data Protection Management System):

* Conformität zu den eigenen Zielen für die Unternehmensmanagementsysteme,
* Konformität zu Anforderungen von 3. Parteien an das ISMS/BCMS, 
* Konformität mit Anforderungen der Standards, zu denen KISTERS sich verpflichtet hat, wie ISO/IEC 27001 und BSI C5, usw.,
* Einhaltung gesetzlicher und behördlicher Anforderungen.

Außerdem soll das Audit feststellen, ob die technischen und organisatorischen Maßnahmen für die Informationssicherheit, Geschäftskontinuität und Datenschutz durch KISTERS geeignet sind, um die definierten Sicherheitsziele zu erreichen und ob sie den angesprochenen Standards entsprechen.",Audit Guideline – 1.1 Motivation
Warum führt KISTERS interne und externe Audits durch und welches Ziel verfolgt das Auditprogramm?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 2.1 Audit objectives gibt es zwei Hauptgründe für die Durchführung von internen und externen Audits:

1. Um zu prüfen, ob das ISMS (Information Security Management System) einschließlich des integrierten BCMS (Business Continuity Management System) und des Datenschutzmanagementsystems den Anforderungen von KISTERS entspricht.
2. Um sicherzustellen, dass alle technischen und organisatorischen Maßnahmen für die Informationssicherheit, den Betriebskontinuitätsmanagement und den Datenschutz durchgeführt werden.

Das Ziel des Auditprogramms ist es, ein umfassendes Programm für interne und externe Audits zu entwickeln und zu unterhalten, das sicherstellt, dass das ISMS effektiv implementiert und erhalten wird. Laut dem Dokument ""KISTERS_IS_Framework.pdf"" | Section: 9.2 Internal audits soll das Auditprogramm alle drei Jahre überprüft werden.

Quelle: KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives",Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme
"Was gehört zum Auditprogramm, das halbjährlich überprüft werden muss?","Laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 2 Audit Programme ist das Auditprogramm ein wichtiger Bestandteil der Audits bei KISTERS. Das Programm umfasst alle geplanten und durchgeführten Audits und wird mindestens alle sechs Monate sowie auf jede relevante Änderung des Auditprogramms überprüft.

Gemäß dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 2.1 Audit objectives ist das Auditprogramm eine Zusammenstellung aller geplanten und durchgeführten Audits, die wichtigsten Aspekte der Informationssicherheit, Daten- schutz und Geschäftsfortsetzung beinhalten.

Gemäß dem Dokument ""KISTERS_IS_Framework.pdf"" | Section: 9.2 Internal audits ist das Auditprogramm ein lebendiges Dokument, das regelmäßig aktualisiert wird und alle Aspekte der ISMS berücksichtigt, einschließlich der Implementierung von Maßnahmen nach ISO/IEC 27001.

Außerdem muss das Auditprogramm mindestens einmal pro Jahr überprüft werden, um sicherzustellen, dass es den Anforderungen entspricht.",Audit Guideline – 2 Audit Programme
Wie wird eine Audit-ID gebildet und wozu wird sie verwendet?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives"" [1] wird die Audit-ID in der folgenden Form gebildet: ""ISAyyyymm &lt;Subject&gt;"".

Die Audit-ID wird verwendet, um jeden Audit zu identifizieren. Sie dient als eindeutiger Bezeichner für jeden Audit und wird von dem CISO, BCMO oder DPO zugewiesen.",Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“)
"Welche Themen fallen typischerweise in den Scope eines Audits bei KISTERS (z. B. ISMS, BCMS, technische Prüfungen)?","Laut der ""KISTERS_IS_Audits.pdf"" und der ""KISTERS_IS_Framework.pdf"" fallen folgende Themen typischerweise in den Scope eines Audits bei KISTERS:

* Audit des Informationssicherheitsmanagementsystems (ISMS) gemäß ISO/IEC 27001
* Audit des Business-Continuity-Managementsystems (BCMS)
* Technische Prüfungen von IT-Infrastruktur und -Anwendungen
* Audits von Compliance mit Normen und Vorschriften (z.B. GDPR, TÜV TSI, SOC 2)
* Internal Risk Assessments

Diese Informationen sind im Abschnitt ""2.2 Audit scopes"" der ""KISTERS_IS_Audits.pdf"" und im Abschnitt ""4.3 Scope of the ISMS"" der ""KISTERS_IS_Framework.pdf"" dokumentiert.

Quelle:
- [1] ""Document: KISTERS_IS_Audits.pdf | Section: 2.2 Audit scopes""
- [2] ""Document: KISTERS_IS_Framework.pdf | Section: 4.3 Scope of the ISMS""",Audit Guideline – 2.2 Audit scopes
"Was wird von mir als Teilnehmer eines Audits bei der Vorbereitung erwartet (z. B. Dokumente, Verfügbarkeit, Zuständigkeiten)?","Laut dem KISTERS_IS_Audits-Dokument [1] unter Abschnitt 2.3.1: Preparation wird von Ihnen als Teilnehmer eines Audits bei der Vorbereitung folgendes erwartet:

- Sie verstehen die Zielsetzung und den Umfang des Audits (was drin ist, was draußen bleibt).
- Sie sind sich bewusst, welche Normen, Gesetze, Verträge oder anderen relevanten Referenzdokumente für den Umfang des Audits gelten.
- Sie bestätigen Ihre Zuständigkeit und können sich ausreichend vorbereiten, um Fragen zu allen im Auditumfang enthaltenen Themen zu beantworten.",Audit Guideline – 2.3.1 Preparation (Participant)
"Wie soll ich mich während der Durchführung eines Audits verhalten, insbesondere im Hinblick auf Offenheit und Nachweise?","Laut den bereitgestellten Dokumenten (KISTERS_IS_Audits.pdf) sollten Sie sich während der Durchführung eines Audits offen und ehrlich verhalten. Dies bedeutet, dass Sie offene Fragen beantworten und auf Aspekte eingehen, wo es einen Raum für Urteilsbildung gibt. Darüber hinaus sollte man dokumentierte Beweise anfordern, sobald dies möglich und angemessen ist, und die Dokumentation (Titel, Version und Datum der überprüften Dokumente) notieren.",Audit Guideline – 2.3.2 Execution (Participant)
"Wie laufen die nächsten Schritte nach einem Audit ab, wenn ich als Verantwortlicher einen Auditbericht erhalte?","Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.3.3 Report"" muss der Auditor einen ersten Entwurf des Auditberichts an die Teilnehmer zur Verfügung stellen, damit diese eine Rückmeldung geben können und um sicherzustellen, dass alle Informationen korrekt und vollständig verstanden werden.

Der nächste Schritt ist es, alle Rückmeldungen zu sammeln und den Bericht abschließend fertigzustellen.",Audit Guideline – 2.3.3 Report / 3 Management of audit findings
Welche Arten von Abweichungen (Findings) gibt es bei Audits?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.4 Audit findings"" gibt es drei Arten von Abweichungen (Findings):

1. **Major Deviation**: Eine erhebliche Nichtkonformität, die das Erreichen der Ziele des verfolgten Prozesses beeinträchtigen kann.
2. **Minor Deviation**: Eine nicht erhebliche Nichtkonformität, die nicht unmittelbar das Erreichen der Ziele des verfolgten Prozesses beeinträchtigt.
3. **Opportunity for Improvement**: Ein Verbesserungspotenzial, bei dem es sich um eine konforme Situation handelt, aber weitere Verbesserungen möglich sind.

Diese Arten von Abweichungen werden im Dokument ""KISTERS_IS_Audits.pdf | Section: 2.4 Audit findings"" ausführlicher beschrieben.",Audit Guideline – 2.4 Findings
Wodurch unterscheidet sich eine „Major deviation“ von einer „Minor deviation“ im Auditkontext?,"Eine ""Major Deviation"" ist eine erhebliche Nichtkonformität, die möglicherweise das Erreichen der erforderlichen Ziele des Prozesses beeinträchtigen kann. Sie tritt auf, wenn es erhebliche Zweifel an der Implementierung und Kontrolle der Prozesse gibt oder wenn mehrere Minor Deviations aufgetreten sind.

Eine ""Minor Deviation"" hingegen ist eine Nichtkonformität, die sich nicht selbstständig auf das Erreichen der Ziele auswirkt. Sie muss innerhalb einer bestimmten Zeit korrigiert werden.

Im Auditkontext wird zwischen Major und Minor Deviations unterschieden, um das Risiko für den Betrieb zu bewerten und entsprechende Maßnahmen einzuleiten.

Quelle: KISTERS_IS_Audits.pdf, Abschnitt 2.4.1 ""Major deviation"" und Abschnitt 2.4.2 ""Minor deviation"".",Audit Guideline – 2.4.1 Major deviation / 2.4.2 Minor deviation
