Frage,Antwort,Referenz
Was ist das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext?,"Laut der Dokumentation ""KISTERS_IS_Audits.pdf"" im Abschnitt ""2.1 Audit objectives"" ist das Ziel eines internen und externen Audits, die Einhaltung der Anforderungen des ISO/IEC 27001, BSI C5, SOC 2, TISAX, BSI TR-03109-6 usw., sowie der gesetzlichen und behördlichen Anforderungen (z.B. GDPR, NIS 2) zu überprüfen.

Das Dokument besagt auch, dass das Ziel eines Audits darin besteht, festzustellen, ob die technischen und organisatorischen Maßnahmen für Informationssicherheit, Unternehmensfortführung und Datenschutz durch KISTERS geeignet sind, um die definierten Anforderungen zu erfüllen, und ob sie effektiv sind, um die Sicherheitsziele zu erreichen.

Insgesamt lautet das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext: ""um festzustellen, ob das ISMS (ISMS) den Anforderungen von KISTERS und den Standards, an denen sich KISTERS orientiert, entspricht, sowie die technischen und organisatorischen Maßnahmen für Informationssicherheit, Unternehmensfortführung und Datenschutz effektiv sind."" [1]",Audit Guideline – 1.1 Motivation
Warum führt KISTERS interne und externe Audits durch und welches Ziel verfolgt das Auditprogramm?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 1.1 Motivation and Objectives"" hat KISTERS die internen und externen Audits eingeführt, um sicherzustellen, dass seine Management-Systeme, einschließlich Informationssicherheits-, Datenschutz- und Geschäftskontinuitätsmanagementsysteme (ISMS, DPMS, BCMS), den Anforderungen des Unternehmens sowie der von KISTERS verpflichteten Standards wie ISO/IEC 27001, SOC 2, BSI C5 etc. entsprechen.

Das Auditprogramm soll sicherstellen, dass die technischen und organisatorischen Maßnahmen zur Informationssicherheit, Datenschutz und Geschäftskontinuität effektiv sind und den definierten Anforderungen entsprechen. Das Programm zielt darauf ab, die Einhaltung der von KISTERS festgelegten Ziele für ihre Management-Systeme sicherzustellen und kontinuierliche Verbesserungen voranzutreiben.

Quelle: ""KISTERS_IS_Audits.pdf | Section: 1.1 Motivation and Objectives""",Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme
"Was gehört zum Auditprogramm, das halbjährlich überprüft werden muss?","Das Auditprogramm umfasst alle geplanten und durchgeführten Audits und wird gemeinsam vom CISO (Chief Information Security Officer), dem BCMO (Business Continuity Manager) und dem DPO (Data Protection Officer) verwaltet. Es sollte mindestens alle sechs Monate überprüft werden, sowie bei jedem relevanten Änderung des Auditprogramms.

Zu den Audits gehören:

* Audits der ISMS (Information Security Management System) nach ISO/IEC 27001, einschließlich von Kontrollen aus ISO/IEC 27017, ISO/IEC 27018, ISO/IEC 27019 und ISO/IEC 27701, soweit zutreffend
* Audits des BCMS (Business Continuity Management System) nach ISO 22301 und BSI 200-4
* Audits zur Einhaltung anderer Normen oder rechtlicher Anforderungen (z.B. GDPR, TÜV TSI, SOC 2 usw.)
* Technische Audits der internen und externen IT-Infrastruktur von KISTERS, einschließlich Penetrationstests
* Audits des Geschäftskontinuierungsmanagements und der Incident-Management-Strategie, einschließlich Ausbildung auf Incident-Management und Disaster Recovery",Audit Guideline – 2 Audit Programme
Wie wird eine Audit-ID gebildet und wozu wird sie verwendet?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf"" (Abschnitt 2.1 Audit objectives) muss die Audit-ID die folgende Form haben: ""ISAyyyymm_&lt;Subject&gt;"" [1]. Die Audit-ID soll alle Audits eindeutig identifizieren.

Die Audit-ID wird verwendet, um einzelne Audits zu identifizieren und zu unterscheiden. Sie dient auch als Bezeichnung für die Audits in den Auditräumen und Tickets [2].

[1] KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives
[2] KISTERS_IS_Audits.pdf | Section: 3.3.1 Combining Audit Actions into single tickets",Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“)
"Welche Themen fallen typischerweise in den Scope eines Audits bei KISTERS (z. B. ISMS, BCMS, technische Prüfungen)?","Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.2 Audit scopes"" fallen folgende Themen typischerweise in den Scope eines Audits bei KISTERS:

* Audits des ISMS (Information Security Management System) durch die Überprüfung der Umsetzung von Maßnahmen nach ISO/IEC 27001, einschließlich von Kontrollen aus ISO/IEC 27017, ISO/IEC 27018, ISO/IEC 27019 und ISO/IEC 27701
* Audits des BCMS (Business Continuity Management System) durch die Überprüfung der Umsetzung von Maßnahmen nach ISO 22301 und BSI 200-4
* Audits zur Einhaltung anderer Normen oder rechtlicher Anforderungen (z.B. GDPR, TÜV TSI, SOC 2)
* Technische Prüfungen der IT-Infrastruktur, einschließlich Penetrationstests
* Audits des Geschäftsfortführungsmanagements und der Notfallverfahren, einschließlich Übungen zum Notfallmanagement und Wiederherstellungsplanung
* Audits von KISTERS-Lieferanten (Lieferantenaudits durch oder auf Kosten von KISTERS)
* Audits von KISTERS als Lieferant (Audits von KISTERS durch oder auf Kosten der Kunden)
* Audits von KISTERS- Lösungen hinsichtlich IT-Sicherheits- und/oder Datenschutzfeatures, einschließlich Penetrationstests durch KISTERS oder Dritte
* Interne Risikobewertungen
* Audits einzelner technischer oder organisatorischer Aspekte bei KISTERS, die für Informationssicherheit, Geschäftsfortführung und/oder Datenschutz relevant sind.",Audit Guideline – 2.2 Audit scopes
"Was wird von mir als Teilnehmer eines Audits bei der Vorbereitung erwartet (z. B. Dokumente, Verfügbarkeit, Zuständigkeiten)?","Laut dem Dokument ""KISTERS_IS_Audits.pdf"" im Abschnitt ""2.3.1 Preparation"" ist von dir als Teilnehmer eines Audits bei der Vorbereitung erwartet:

* Du solltest das Auditorium über die relevanten Dokumente informieren, die für das Audit benötigt werden (Anmerkung: Keine explizite Erwähnung).
* Du solltest sicherstellen, dass du verfügbar bist und in der Lage bist, Informationen bereitzustellen, ansonsten den zuständigen Mitarbeiter zu benennen.
* Du solltest die relevanten Dokumente für das Audit vorbereiten und dem Auditor zur Verfügung stellen, wenn er sie benötigt.

Es ist wichtig zu beachten, dass als Teilnehmer des Audits du auch deine Zuständigkeiten und Verantwortlichkeiten kennen und bereit sein solltest, Fragen der Auditorium beantworten zu können.",Audit Guideline – 2.3.1 Preparation (Participant)
"Wie soll ich mich während der Durchführung eines Audits verhalten, insbesondere im Hinblick auf Offenheit und Nachweise?","Laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 2.3.1 Preparation sollte man sich wie folgt verhalten:

* Sei offen und ehrlich in der Diskussion über relevante Themen.
* Bitte um dokumentierte Beweise, wenn möglich und angemessen; beachte den Titel, die Version und das Datum der geprüften Dokumente.
* Beziehe dich auf beobachtete Audits von aktiven Tests aus, wie z.B. Penetrationstests. Leite aktiv durchgeführte Tests mit verantwortungsvoller Vorsicht durch; wenn du unsicher bist, bitte um Zustimmung für die Durchführung der Aktivität vom Audit-Teilnehmer.
* Stelle sicher, dass Audit-Befunde als ""Möglichkeit zur Verbesserung"" für konforme Themen eingeordnet werden, bei denen weitere Verbesserungen möglich sind, und als ""kleine Abweichung"" oder ""große Abweichung"" für Nichtkonformitäten. Identifiziere jeden Befund mit einer eindeutigen ""Befund- ID"".

Ich hoffe, diese Informationen helfen dir bei deinem Audit!",Audit Guideline – 2.3.2 Execution (Participant)
"Wie laufen die nächsten Schritte nach einem Audit ab, wenn ich als Verantwortlicher einen Auditbericht erhalte?","Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 3 Management of audit findings"" und ""KISTERS_IS_Audits.pdf | Section: 2.3.3 Report"" müssen Sie als verantwortlicher Auditee nach Erhalt des Auditberichts folgende Schritte ausführen:

1. Überprüfen Sie den Bericht auf Richtigkeit und Vollständigkeit.
2. Fügen Sie alle korrekten und umfassenden Kommentare und Kritiken hinzu, die zuvor von allen Beteiligten gegeben wurden.
3. Verwenden Sie diese Informationen, um eine endgültige Auditbericht zusammenzustellen.
4. Übermitteln Sie den endgültigen Bericht an die relevanten Interessengruppen.

Es ist wichtig, dass der Auditbericht detailliert und umfassend ist, damit sich alle Beteiligten auf das nachfolgende Maßnahmenpaket vorbereiten können.",Audit Guideline – 2.3.3 Report / 3 Management of audit findings
Welche Arten von Abweichungen (Findings) gibt es bei Audits?,"Laut den KISTERS IS Guidelines gibt es bei Audits drei Arten von Abweichungen (Findings):

1.  **Mögliche Verbesserung** (Opportunity for Improvement): Eine nicht konforme Situation, die keine negative Auswirkungen auf das Unternehmen hat.
2.  **Minor-Abweichung**: Eine nicht konforme Situation, die das Erreichen der Ziele des Prozesses beeinträchtigen kann, aber in der Regel keinen schwerwiegenden Schaden verursacht.
3.  **Major-Abweichung**: Eine schwerwiegende und bedeutende Abweichung von den relevanten Anforderungen, die das Erreichen der Ziele des Prozesses erheblich beeinträchtigen kann.

Diese Arten von Abweichungen werden in den KISTERS IS Guidelines als ""opportunity for improvement"" (1), ""minor deviation"" (2) und ""major deviation"" (3) bezeichnet.",Audit Guideline – 2.4 Findings
Wodurch unterscheidet sich eine „Major deviation“ von einer „Minor deviation“ im Auditkontext?,"Laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 2.4.1 Major deviation und 2.4.2 Minor deviation sind die wesentlichen Unterschiede zwischen Major- und Minordeviationen:

* Eine Major Deviation ist eine signifikante Nichtkonformität mit den relevanten Anforderungen, die das Erreichen der erforderlichen Ziele des untersuchten Prozesses beeinträchtigen kann. 
* Ein Major Deviation kann auch auftreten, wenn mehrere minor Deviations von einer Anforderung formuliert sind oder wenn das Problem zu einem Systemversagen führen könnte.
* Bei einer Minor Deviation handelt es sich um eine Nichtkonformität, die sich nicht selbst auf das Erreichen der Ziele des untersuchten Prozesses auswirkt.

Zusammenfassend kann man sagen, dass Major- und Minordeviationen sich in ihrer Auswirkung auf den betroffenen Prozess und deren Schweregrad unterscheiden.",Audit Guideline – 2.4.1 Major deviation / 2.4.2 Minor deviation
