ID,Frage,Supposed Answer Source,Antwort,contexts_Header 2,contexts_source,contexts_score
01 - DE,Was ist das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext?,Audit Guideline – 1.1 Motivation,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives"" ist das Ziel des internen und externen Audits, zu überprüfen:

- ob das Informationssicherheitsmanagementsystem (ISMS), einschließlich des integrierten Business Continuity Managementsystems (BCMS) und des Datenschutzmanagement-Systems (DPMS), 
-   konform zur eigenen KISTERS-Zielsetzung für die Management-Systeme, zu den Anforderungen Dritter an die KISTERS-Informationssicherheit, -Continuity und -Datenschutz sowie zu den von der KISTERS eingehaltenen Normen wie ISO/IEC 27001 usw. ist;
-   ob das ISMS effektiv implementiert und aufrechterhalten wird;
-   ob die technischen und organisatorischen Sicherheitsmaßnahmen, -Continuity- und -Schutzmaßnahmen der KISTERS 
-    zu den definierten Anforderungen passen,
-    zur Erreichung der Informationssicherheitsziele wirksam sind,
-    sich an die von der KISTERS angesprochenen Normen, wie ISO/IEC 27001 usw., sowie an andere nationale und internationale Standards, Richtlinien und Gesetze halten.","2.1 Audit objectives
1.1 Motivation and Objectives
7 Continual Improvement
2.2 Audit scopes
9.2 Internal audits
4.3 KPI\_AuditActions
4.2 KPI\_Audits
6.3 Hazard overview
7.2 Identification of possible BC strategies
3.4 Audits
1.4 Applicable legal and regulatory requirements
1.2 Scope
1.1 Motivation and objectives
3 BIA pre-filter","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_KPIs.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9976834058761597
0.9377782344818115
0.9359862208366394
0.9344294667243958
0.9088360667228699
0.8992689251899719
0.8352938294410706
0.05212676525115967
0.03961982950568199
0.031337324529886246
0.028398264199495316
0.025719135999679565
0.014736047945916653
0.013119863346219063"
01 - EN,What is the goal of an internal or external audit in the ISMS/BCMS context?,Audit Guideline – 1.1 Motivation,"According to the document ""KISTERS_IS_Framework.pdf"" (Section 9.2 Internal audits), the goal of an internal audit is to verify whether the ISMS conforms to KISTERS' requirements for its ISMS and the requirements of ISO/IEC 27001, and that the ISMS is effectively implemented and maintained.","2.1 Audit objectives
7 Continual Improvement
1.1 Motivation and Objectives
9.2 Internal audits
4.3 KPI\_AuditActions
2.2 Audit scopes
4.2 KPI\_Audits
7.2 Identification of possible BC strategies
3 BIA pre-filter
1.2 Scope
3.4 Audits
1.1 Motivation and objectives
1.1 Motivation and objectives
1.4 Applicable legal and regulatory requirements","KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_KPIs.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9979971051216125
0.9643623232841492
0.9530671238899231
0.921894371509552
0.9021520018577576
0.881078839302063
0.8336033225059509
0.06670919060707092
0.06002957746386528
0.027632927522063255
0.02161894366145134
0.014915328472852707
0.0139915831387043
0.011568679474294186"
02 - DE,Warum führt KISTERS interne und externe Audits durch und welches Ziel verfolgt das Auditprogramm?,Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 1.1 Motivation and Objectives"" führt KISTERS interne und externe Audits durch, um sicherzustellen, dass die technischen und organisatorischen Maßnahmen für Informationssicherheit, Geschäftskontinuität und Datenschutz effektiv sind und den Anforderungen entsprechen. Das Auditprogramm soll ein uniformes Verfahren zur Planung und Durchführung von Audits sicherstellen, um das Risiko der Degradation oder Unterbrechung geschäftlicher Abläufe zu minimieren.

[1]","2.1 Audit objectives
1.1 Motivation and Objectives
1.4 Applicable legal and regulatory requirements
9.2 Internal audits
2.2 Audit scopes
7 Continual Improvement
3 Technische und organisatorische Maßnahmen zum Datenschutz
8 References
9.1.8.3 Members of Situational Extensions
1.1 Motivation and objectives
4.2 References
1.1 Motivation and objectives
1.4 Applicable legal and regulatory requirements
3.1 Method, objective and result","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_DatenschutzSystemservice.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9971629977226257
0.9946331977844238
0.9900159239768982
0.9857024550437927
0.9833410382270813
0.9577555060386658
0.9045692682266235
0.436641126871109
0.3675885796546936
0.35310956835746765
0.3255913257598877
0.31768718361854553
0.30147841572761536
0.26129013299942017"
02 - EN,"Why does KISTERS conduct internal and external audits, and what is the goal of the audit program?",Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme,"According to the document ""KISTERS_IS_Audits.pdf | Section: 1.1 Motivation and Objectives"", KISTERS conducts internal and external audits to verify whether the defined and implemented technical and organisational measures meet the required and self-defined standards. The objective of this guideline is to define a standardised procedure for the planning and execution of audits in order to achieve a uniform procedure and documentation as far as possible, to avoid the degradation or disruption of business operations, and to minimise access to internal and confidential information in the course of audits.

The audit program aims to evaluate whether KISTERS' ISMS, including the integrated BCMS and DPMS, conforms to its own objectives, third parties' requirements and expectations, and the requirements of relevant standards such as ISO/IEC 27001. The goal of the audit program is also to ensure that the ISMS is effectively implemented and maintained, and that the technical and organisational measures for information security, business continuity, and data protection are suitable for meeting the defined requirements.

[1] Document: KISTERS_IS_Audits.pdf | Section: 1.1 Motivation and Objectives","2.1 Audit objectives
1.1 Motivation and Objectives
9.2 Internal audits
1.4 Applicable legal and regulatory requirements
2.2 Audit scopes
7 Continual Improvement
1.2 Scope
7.3 Assessment of BC strategies
1.4 Applicable legal and regulatory requirements
1.1 Motivation and objectives
1.1 Motivation and objectives
3.1 Method, objective and result
4.1 Method, objective and result
3.4 Audits","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf","0.9994320273399353
0.9989696741104126
0.9968926906585693
0.9957024455070496
0.9909881949424744
0.9830259680747986
0.9450738430023193
0.4221305251121521
0.4198698401451111
0.4185987412929535
0.414628267288208
0.40118199586868286
0.4010235667228699
0.3528234660625458"
03 - DE,"Was gehört zum Auditprogramm, das halbjährlich überprüft werden muss?",Audit Guideline – 2 Audit Programme,"Das Auditprogramm, das halbjährlich überprüft werden muss, umfasst alle geplanten und durchgeführten Audits. Laut der Dokumente ""KISTERS_IS_Audits.pdf"" und ""Document: KISTERS_BCM_3-BCP.pdf | Section: 3.4 Audits"" enthält das Auditprogramm:

* alle internen und externen Audits
* alle durchgeführten Tests, wie z.B. Penetrationstests
* alle Audits von Geschäftskontinuitätsmanagements (BCMS) und Incident-Management
* alle Audits von Compliance mit anderen Normen oder regulatorischen Anforderungen

Das bedeutet, dass das Auditprogramm ein umfassendes Programm ist, das regelmäßig überprüft werden muss, um sicherzustellen, dass alle notwendigen Audits durchgeführt werden und die Ergebnisse ausgewertet werden.","2 Audit Programme
2.2 Audit scopes
3.7 Recovery test
9.2 Internal audits
4.2 KPI\_Audits
Table of contents
1.4 Applicable legal and regulatory requirements
3.3 Tests
3.4 Audits
4.6 Control
8 Reviewing ad Updating of Contingency Manual
4.3.3 Definition of resource categories
9 Document history
5.2 Implementation","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Databackup.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.30707859992980957
0.06792654097080231
0.0462857224047184
0.033088479191064835
0.030187632888555527
0.026795046404004097
0.023540735244750977
0.0019163249526172876
0.0016345956828445196
0.0012945295311510563
0.0007647057645954192
0.0007610632455907762
0.0006431134534068406
0.0006001744186505675"
03 - EN,"What is included in the audit program, which must be reviewed every six months?",Audit Guideline – 2 Audit Programme,"FEHLER: HTTPConnectionPool(host='localhost', port=3000): Read timed out. (read timeout=60)",,,
04 - DE,Wie wird eine Audit-ID gebildet und wozu wird sie verwendet?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“),"FEHLER: HTTPConnectionPool(host='localhost', port=3000): Read timed out. (read timeout=60)",,,
04 - EN,How is an audit ID generated and what is it used for?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“),"FEHLER: HTTPConnectionPool(host='localhost', port=3000): Read timed out. (read timeout=60)",,,
05 - DE,"Welche Themen fallen typischerweise in den Scope eines Audits bei KISTERS (z. B. ISMS, BCMS, technische Prüfungen)?",Audit Guideline – 2.2 Audit scopes,"FEHLER: HTTPConnectionPool(host='localhost', port=3000): Read timed out. (read timeout=60)",,,
05 - EN,"What topics typically fall within the scope of an audit at KISTERS (e.g., ISMS, BCMS, technical audits)?",Audit Guideline – 2.2 Audit scopes,"FEHLER: HTTPConnectionPool(host='localhost', port=3000): Read timed out. (read timeout=60)",,,
