ID,Frage,Supposed Answer Source,Antwort,contexts_Header 2,contexts_source,contexts_score
01 - DE,Was ist das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext?,Audit Guideline – 1.1 Motivation,"Laut KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives [1] ist das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext, die Umsetzung des Informationssicherheitsmanagementsystems (ISMS), einschließlich des integrierten Betriebskontinuitätsmanagementsystems (BCMS) und des Datenschutzmanagementsystems (DPMS), zu überprüfen, ob sie:

- sich an die eigenen Ziele von KISTERS für seine Managementsysteme halten,
- die Anforderungen von Dritten an das Informationssicherheitsmanagement, Betriebskontinuitätsmanagement und Datenschutzmanagement von KISTERS erfüllen,
- an die Standards entsprechen, denen sich Kisters verpflichtet hat, wie ISO/IEC 27001, BSI C5, SOC 2, TISAX, BSI TR-03109-6 usw.,
- rechtliche und gesetzliche Anforderungen erfüllen, wie z.B. die DSGVO, NIS 2 und andere anwendbare Gesetze.

Das Ziel ist außerdem eine effektive Umsetzung und Pflege der technischen und organisatorischen Maßnahmen für Informationssicherheit, Betriebskontinuität und Datenschutz bei KISTERS.","2.1 Audit objectives
1.1 Motivation and Objectives
2.2 Audit scopes
9.2 Internal audits
4.3 KPI\_AuditActions
4.2 KPI\_Audits
10.1 Continual improvement
8 References
6.3 Hazard overview
7.2 Identification of possible BC strategies
3.4 Audits
1.4 Applicable legal and regulatory requirements
9.4 Structure of Documents
1.1 Motivation and objectives","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Framework.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9976834058761597
0.937778115272522
0.9344294667243958
0.9088360667228699
0.8992692828178406
0.8352939486503601
0.6142591238021851
0.20627543330192566
0.05212702229619026
0.03961966559290886
0.031337395310401917
0.028398316353559494
0.021301770582795143
0.014735978096723557"
01 - EN,What is the goal of an internal or external audit in the ISMS/BCMS context?,Audit Guideline – 1.1 Motivation,"According to Section 2.1 Audit objectives in KISTERS_IS_Audits.pdf, the objective of internal and external audits is to evaluate whether the information security management system (ISMS), including the integrated business continuity management system (BCMS) and the data protection management system (DPMS):

""conforms to
KISTERS' own objectives for its management systems,
3 rd parties' requirements and expectations on KISTERS' information security management, business continuity management and data protection,
the requirements of the standards which KISTERS is committed to comply to, such as ISO/IEC 27001, BSI C5, SOC 2, TISAX, BSI TR-03109-6, etc.,
legal and statutory requirements, such as GDPR, NIS 2, and other applicable laws and acts;""","2.1 Audit objectives
1.1 Motivation and Objectives
9.2 Internal audits
4.3 KPI\_AuditActions
2.2 Audit scopes
4.2 KPI\_Audits
10.1 Continual improvement
8 References
7.2 Identification of possible BC strategies
6.3 Hazard overview
3.4 Audits
9.4 Structure of Documents
1.1 Motivation and objectives
1.4 Applicable legal and regulatory requirements","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Framework.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9979971051216125
0.9530671238899231
0.9218944311141968
0.9021520018577576
0.8810789585113525
0.8336032629013062
0.759488046169281
0.13849307596683502
0.06670932471752167
0.05143379420042038
0.021618932485580444
0.019243329763412476
0.014915328472852707
0.011568712070584297"
02 - DE,Warum führt KISTERS interne und externe Audits durch und welches Ziel verfolgt das Auditprogramm?,Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives"" ist das Hauptziel der internen und externen Audits, um sicherzustellen, dass das Informationssicherheitsmanagementssystem (ISMS), einschließlich des integrierten Geschäftskontinuierlichkeitsmanagementsystems (BCMS) und des Datenschutzmanagementsystems (DPMS), folgende Kriterien erfüllt:

- Konformität mit den eigenen Zielen für die Management-Systeme von KISTERS
- Konformität mit den Anforderungen der 3. Parteien an das Informationssicherheitsmanagement, Geschäftskontinuierlichkeitsmanagement und Datenschutzmanagement
- Einhaltung der Vorschriften der Standards, zu denen KISTERS sich verpflichtet hat, wie z.B. ISO/IEC 27001, BSI C5, SOC 2 usw.
- Konformität mit den rechtlichen und behördlichen Anforderungen, einschließlich des Datenschutzrechts (DS-GVO), der Verordnung über die Sicherheit von Informationstechnik in kritischen Infrastrukturen (BSI-KritisV) und anderer anwendbarer Gesetze und Vorschriften.

Das Auditprogramm zielt darauf ab, sicherzustellen, dass das ISMS effektiv implementiert und aufrechterhalten wird, um die definierten Sicherheitsziele zu erreichen.","2.1 Audit objectives
1.1 Motivation and Objectives
1.4 Applicable legal and regulatory requirements
9.2 Internal audits
2.2 Audit scopes
7 Continual Improvement
3 Technische und organisatorische Maßnahmen zum Datenschutz
8 References
9.1.8.3 Members of Situational Extensions
4.2 References
1.1 Motivation and objectives
1.4 Applicable legal and regulatory requirements
3.4 Audits
5 Document history","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_DatenschutzSystemservice.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf","0.9971629977226257
0.9946331977844238
0.9900159239768982
0.9857024550437927
0.9833410382270813
0.9577556252479553
0.9045690298080444
0.436641126871109
0.3675885796546936
0.3255913257598877
0.31768718361854553
0.30147841572761536
0.23473601043224335
0.22115333378314972"
02 - EN,"Why does KISTERS conduct internal and external audits, and what is the goal of the audit program?",Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme,"KISTERS conducts internal and external audits to evaluate whether the information security management system (ISMS), including the integrated business continuity management system (BCMS) and the data protection management system (DPMS), conforms to KISTERS' own objectives for its management systems, 3rd parties' requirements and expectations on KISTERS' information security management, business continuity management, and data protection, as well as legal and statutory requirements such as GDPR [1].

The goal of the audit program is to achieve a uniform procedure and documentation, avoid degradation or disruption of business operations, and minimize access to internal and confidential information in the course of audits [2]. The audit program includes various activities, such as internal and external audits on ISMS controls, BCMS, compliance with other norms or regulatory requirements, technical audits of KISTERS' IT infrastructure, and vendor audits by or on behalf of clients [3].

[1] Document: KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives

[2] Document: KISTERS_IS_Audits.pdf | Section: 1.4 Applicable legal and regulatory requirements

[3] Document: KISTERS_IS_Audits.pdf | Section: 2.2 Audit scopes","2.1 Audit objectives
1.1 Motivation and Objectives
9.2 Internal audits
1.4 Applicable legal and regulatory requirements
2.2 Audit scopes
7 Continual Improvement
1.2 Scope
7.3 Assessment of BC strategies
1.4 Applicable legal and regulatory requirements
1.1 Motivation and objectives
3.1 Method, objective and result
4.1 Method, objective and result
3.4 Audits
9.3 Relevant internal and external Contacts","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf","0.9994320273399353
0.9989696741104126
0.9968926906585693
0.9957024455070496
0.9909881949424744
0.9830259680747986
0.9450738430023193
0.4221305251121521
0.4198698401451111
0.414628267288208
0.4011826813220978
0.4010235667228699
0.3528234660625458
0.3373379409313202"
03 - DE,"Was gehört zum Auditprogramm, das halbjährlich überprüft werden muss?",Audit Guideline – 2 Audit Programme,"According to the provided context, the audit programme that MUST be reviewed at least every six months is jointly managed by the CISO, the BCMO and the DPO. It includes all planned audits as well as all conducted audits and MUST be summarized in the 'KISTERS IS Audit Programme'. The programme includes but is not limited to internal and external audits on various topics such as ISO/IEC 27001 controls, ISO 22301 controls, technical audits of IT infrastructure, audits of business continuity management, incident management, exercises on incident management and disaster recovery, vendor audits by or on behalf of KISTERS, and more.","2 Audit Programme
2.2 Audit scopes
9.2 Internal audits
4.2 KPI\_Audits
Table of contents
1.4 Applicable legal and regulatory requirements
1.3 Roles, Responsibilities and Dependencies
3.4 Audits
4.6 Control
8 Document history
Table 6: RPO vs RPA
Table 7: Overview corrective measures for Risk Reduction
8 Reviewing ad Updating of Contingency Manual
4.3.3 Definition of resource categories","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.30707859992980957
0.06792654097080231
0.033088479191064835
0.030187632888555527
0.026795046404004097
0.023540735244750977
0.018758736550807953
0.001634594053030014
0.0012945295311510563
0.0010681948624551296
0.000811746867839247
0.0007769883377477527
0.0007647047168575227
0.0007610610919073224"
03 - EN,"What is included in the audit program, which must be reviewed every six months?",Audit Guideline – 2 Audit Programme,"According to the provided context, all planned audits as well as all conducted audits MUST be summarized in the 'KISTERS IS Audit Programme' [2].","2 Audit Programme
2.2 Audit scopes
6.3.4 Confidential (I3)
4.3.4 Security areas (Z3)
9.2 Internal audits
4 Review of audit actions
6.2 Information security objectives and planning to achieve them
Table of contents
7.3 Assessment of BC strategies
7.5 Implementation of BC strategies and solutions
3.3 Tests
2 Result of the BIA pre-filter
4.6 Control
5.3 Organizational prerequisites","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Classification_AccessControl.pdf
KISTERS_IS_Classification_AccessControl.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_7-EP-Generic_Restore.pdf","0.9848373532295227
0.41107264161109924
0.14959445595741272
0.11282050609588623
0.09008795022964478
0.07431492209434509
0.05322052538394928
0.010755903087556362
0.007887504994869232
0.004816615954041481
0.003647277597337961
0.0033999276347458363
0.003310937201604247
0.0031921009067445993"
04 - DE,Wie wird eine Audit-ID gebildet und wozu wird sie verwendet?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“),"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2 Audit Programme"" [1] muss die Audit-ID in der Form ""ISAyyyymm_&lt;Subject&gt;"" erstellt werden. Hierbei wird das Datum im Format ""yyyymm"" verwendet, gefolgt vom Subjekt des Audits.

Die Audit-ID wird verwendet, um jeden Audit zu identifizieren. Jede Audit-ID ist eindeutig und muss von der zuständigen Person (CISO, BCMO oder DPO) zugewiesen werden [1].

Quelle: Document: KISTERS_IS_Audits.pdf | Section: 2 Audit Programme","2 Audit Programme
3.1 Organization of audit tickets
3.1 Level 1 security
2.3.2 Execution
3.3.1 Combining Audit Actions into single tickets
4.2 KPI\_Audits
4.3 KPI\_AuditActions
8 References
Principles for logging
4.2 References
9.1.8.3 Members of Situational Extensions
Table 6: RPO vs RPA
5 Document history
8 Document history","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Hardening_Windows10_RemoteVM.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_KPIs.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Results.pdf","0.25288236141204834
0.12546250224113464
0.03253050521016121
0.03104727528989315
0.030096564441919327
0.010698295198380947
0.007045851554721594
0.0019528293050825596
0.0009999392786994576
0.0009835819946601987
0.0007969322614371777
0.0007517009507864714
0.000555371108930558
0.0005212426767684519"
04 - EN,How is an audit ID generated and what is it used for?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“),"According to the document ""KISTERS_IS_Audits.pdf"" | Section: 2 Audit Programme"", an audit ID is generated in the form ""ISAyyyymm_<Subject>"" and must be assigned by the CISO, the BCMO or the DPO. The audit ID is used to identify each audit and is included in the title of the audit summary ticket.","2 Audit Programme
3.1 Organization of audit tickets
2.3.2 Execution
3.3.1 Combining Audit Actions into single tickets
3.1 Level 1 security
4.3 KPI\_AuditActions
4.2 KPI\_Audits
7.3 Assessment of BC strategies
2 Result of the BIA pre-filter
Principles for logging
3.3 Tests
Existing specific Emergency Procedures for each Business Process:
4.4 Implementation
9 Document history","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Hardening_Windows10_RemoteVM.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_KPIs.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_9-EP-Internal_IT-GoDigit.pdf","0.1756255328655243
0.08186584711074829
0.025404848158359528
0.02330622635781765
0.02018670365214348
0.008842355571687222
0.007302152458578348
0.0016425747890025377
0.0011504276189953089
0.0008997725672088563
0.0008976617245934904
0.0005843223771080375
0.00042977818520739675
0.00038086180575191975"
05 - DE,"Welche Themen fallen typischerweise in den Scope eines Audits bei KISTERS (z. B. ISMS, BCMS, technische Prüfungen)?",Audit Guideline – 2.2 Audit scopes,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2.2 Audit scopes"" fallen folgende Themen typischerweise in den Scope eines Audits bei KISTERS:

- Audits des ISMS (Information Security Management System) durch Prüfung der Umsetzung der ISO/IEC 27001-Standards
- Audits des BCMS (Business Continuity Management System) durch Prüfung der Umsetzung der ISO 22301-Standards und der BSI 200-4
- Technische Prüfungen, wie z.B. Penetrationstests auf die IT-Infrastruktur
- Audits von Compliance mit anderen Normen oder regulatorischen Anforderungen (z.B. GDPR, SOC 2)
- Audits von KISTERS' Lieferanten (Vendor-Audits)

Diese Themen werden in dem Dokument als beispielhaft für den Scope eines Audits bei KISTERS aufgeführt und dienen zur Bewertung der Umsetzung der Anforderungen des ISMS und BCMS sowie zur Identifizierung von Mängeln oder Risiken.","2.2 Audit scopes
2.1 Audit objectives
1.2 Scope
4.2.2 Negatively interested parties
9.2 Internal audits
1.3 Roles, Responsibilities and Dependencies
4.3 Scope of the ISMS
1.2 Scope
8 References
1.1 Motivation and objectives
3.3 Tests
3.4 Audits
Table of contents
3 BIA pre-filter","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9903256893157959
0.983596682548523
0.9507128596305847
0.8412522077560425
0.8037787675857544
0.7355460524559021
0.7315470576286316
0.626887857913971
0.5209249258041382
0.28330790996551514
0.2283187061548233
0.208254873752594
0.20820599794387817
0.16861867904663086"
05 - EN,"What topics typically fall within the scope of an audit at KISTERS (e.g., ISMS, BCMS, technical audits)?",Audit Guideline – 2.2 Audit scopes,"According to the provided context, the following topics typically fall within the scope of an audit at KISTERS:

* Audits of the Information Security Management System (ISMS) by examining the implementation of measures according to the controls of ISO/IEC 27001, including controls from ISO/IEC 27017, ISO/IEC 27018, ISO/IEC 27019, ISO/IEC 27701, as applicable [1].
* Audits of the Business Continuity Management System (BCMS) by examining the implementation of measures according to the controls of ISO 22301 and BSI 200-4.
* Technical audits of KISTERS' internal and cloud IT infrastructure, including penetration tests.

Additionally, the scope of an audit at KISTERS may also include:

* Audits of compliance with other norms or regulatory requirements (GDPR, TÜV TSI, SOC 2, etc.).
* Audits of business continuity management and incident management, including exercises on incident management and disaster recovery.
* Audits of KISTERS' suppliers (vendor audits by or on behalf of KISTERS) and as a supplier (vendor audits of KISTERS by or on behalf of clients).
* Audits of KISTERS solutions regarding IT security and/or data protection features, including penetration tests, by KISTERS or 3rd parties.
* Internal risk assessments.

These topics are listed in the provided context under ""Document: KISTERS_IS_Audits.pdf | Section: 2.2 Audit scopes"".","2.2 Audit scopes
1.2 Scope
2.1 Audit objectives
9.2 Internal audits
4.2.2 Negatively interested parties
3.4 Special case: vendor audits by clients
1.3 Roles, Responsibilities and Dependencies
1.2 Scope
8 References
Result:
3 BIA pre-filter
3.3 Tests
Table of contents
10 References 1","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf","0.9935739636421204
0.9231610894203186
0.8783549666404724
0.8730318546295166
0.8354436755180359
0.7687736749649048
0.6973296403884888
0.7318803668022156
0.48178449273109436
0.2855739891529083
0.2594445049762726
0.2185625284910202
0.1792355626821518
0.16959480941295624"
