ID,Frage,Supposed Answer Source,Antwort,contexts_Header 2,contexts_source,contexts_score
01 - DE,Was ist das Ziel eines internen oder externen Audits im ISMS/BCMS-Kontext?,Audit Guideline – 1.1 Motivation,"Laut dem Dokument ""KISTERS_IS_Audits.pdf"" | Section: 2.1 Audit objectives ist das Ziel eines internen und externen Audits, festzustellen, ob der Informationssicherheitsmanagementsystem (ISMS), einschließlich des integrierten Geschäftskontinuierlichkeitsmanagementsystems (BCMS) und des Datenschutzmanagementsystems (DPMS),

* Konformität mit
  * eigenen Zielen für die Managementsysteme,
  * Anforderungen von Dritten an Kisters’ Informationssicherheitsmanagement, Geschäftskontinuität und Datenenschutz,
  * Anforderungen der Standards, an die sich Kisters verpflichtet hat, z.B. ISO/IEC 27001, BSI C5, SOC 2 usw.,
  * gesetzlichen und behördlichen Anforderungen wie DSGVO, NIS 2 und anderen anwendbaren Gesetzen und Vorschriften;
* Effektive Implementierung und Wartung
  * Eignung der technischen und organisatorischen Maßnahmen zum Informationsschutz, Geschäftskontinuität und Datenschutz,
  * Eignung von Informationssicherheitszielen,
  * Konformität mit den im ISMS angesprochenen Standards sowie nationalen und internationalen Normen, Best Practices und gesetzlichen Anforderungen.","2.1 Audit objectives
1.1 Motivation and Objectives
7 Continual Improvement
2.2 Audit scopes
9.2 Internal audits
4.3 KPI\_AuditActions
4.2 KPI\_Audits
8 References
7.2 Identification of possible BC strategies
3.4 Audits
1.4 Applicable legal and regulatory requirements
1.1 Motivation and objectives
1.1 Motivation and objectives
Table of contents","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_KPIs.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9976834058761597
0.937778115272522
0.9359862208366394
0.9344294667243958
0.9088360667228699
0.8992692828178406
0.8352939486503601
0.20627543330192566
0.03961966559290886
0.03133730962872505
0.028398316353559494
0.014736033044755459
0.012308227829635143
0.008543958887457848"
01 - EN,What is the goal of an internal or external audit in the ISMS/BCMS context?,Audit Guideline – 1.1 Motivation,"According to the Document: KISTERS_IS_Audits.pdf | Section: 2.1 Audit objectives, the objective of internal and external audits is to evaluate whether the information security management system (ISMS), including the integrated business continuity management system (BCMS) and the data protection management system (DPMS), conforms to:

* KISTERS' own objectives for its management systems
* Third parties' requirements and expectations on KISTERS' information security management, business continuity management, and data protection
* The requirements of the standards which KISTERS is committed to comply with, such as ISO/IEC 27001, BSI C5, SOC 2, TISAX, etc.
* Legal and statutory requirements, such as GDPR, NIS 2, and other applicable laws and acts

Additionally, the goal of an internal or external audit in the ISMS/BCMS context is to verify whether the technical and organisational measures for information security, business continuity, and data protection implemented by KISTERS are:

* Suitable for meeting the defined requirements
* Effective for achieving the information security objectives
* Conformant to the standards addressed by the ISMS as well as other applicable national and international standards, best practices, and statutory requirements.","2.1 Audit objectives
7 Continual Improvement
1.1 Motivation and Objectives
9.2 Internal audits
4.3 KPI\_AuditActions
2.2 Audit scopes
4.2 KPI\_Audits
8 References
3.4 Audits
1.1 Motivation and objectives
5.2 References
1.4 Applicable legal and regulatory requirements
1.3 Roles, Responsibilities and Dependencies
Table of contents","KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_KPIs.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_6-BCP-GEN-SharedIT-Internal_IT.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9979971051216125
0.9643623232841492
0.9530671238899231
0.9218944311141968
0.9021520018577576
0.8810789585113525
0.8336032629013062
0.13849307596683502
0.021618932485580444
0.014915328472852707
0.011932560242712498
0.011568712070584297
0.008901105262339115
0.008193177171051502"
02 - DE,Warum führt KISTERS interne und externe Audits durch und welches Ziel verfolgt das Auditprogramm?,Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme,"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 1.4 Applicable legal and regulatory requirements"" führt KISTERS interne und externe Audits durch, um sicherzustellen, dass die ISMS (Information Security Management System), einschließlich des integrierten BCM-Systems (Business Continuity Management System) und des Datenschutzmanagementsystems, den Anforderungen von ISO/IEC 27001, BSI C5, SOC 2, TISAX usw. entspricht.

Das Auditprogramm verfolgt das Ziel, die Wirksamkeit der ISMS und der BCMS sicherzustellen, sowie sicherzustellen, dass die technischen und organisatorischen Maßnahmen für Informationssicherheit, Geschäftsfortführung und Datenschutz in KISTERS umgesetzt und effektiv sind.

Das Ziel des Auditprogramms ist es also, sicherzustellen, dass KISTERS die Anforderungen der relevanten Standards und Gesetze erfüllt und die Wirksamkeit der ISMS und der BCMS aufrechterhält.","2.1 Audit objectives
1.1 Motivation and Objectives
1.4 Applicable legal and regulatory requirements
9.2 Internal audits
2.2 Audit scopes
3 Technische und organisatorische Maßnahmen zum Datenschutz
Table of contents
8 References
9.1.8.3 Members of Situational Extensions
4.2 References
3.4 Audits
5 Document history
3.3 Tests
4 Document history","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_DatenschutzSystemservice.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_8-EP-Internal_IT.pdf","0.9971629977226257
0.9946331977844238
0.9900159239768982
0.9857024550437927
0.9833410382270813
0.9045690298080444
0.9029499292373657
0.436641126871109
0.3675885796546936
0.3255913257598877
0.23473545908927917
0.22115333378314972
0.18852220475673676
0.130249485373497"
02 - EN,"Why does KISTERS conduct internal and external audits, and what is the goal of the audit program?",Audit Guideline – 1.1 Motivation and Objectives / 2 Audit Programme,"According to the document ""KISTERS_IS_Audits.pdf | Section: 1.1 Motivation and Objectives"", KISTERS conducts internal and external audits to verify whether the defined and implemented technical and organisational measures meet the required and self-defined standards.

The objective of this guideline is to define a standardised procedure for the planning and execution of audits in order to achieve a uniform procedure and documentation as far as possible, to avoid the degradation or disruption of business operations, and to minimise access to internal and confidential information in the course of audits.","2.1 Audit objectives
1.1 Motivation and Objectives
9.2 Internal audits
1.4 Applicable legal and regulatory requirements
2.2 Audit scopes
7 Continual Improvement
1.2 Scope
7.3 Assessment of BC strategies
1.4 Applicable legal and regulatory requirements
3.1 Method, objective and result
4.1 Method, objective and result
3.4 Audits
9.3 Relevant internal and external Contacts
Result:","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Policy.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9994320273399353
0.9989696741104126
0.9968926906585693
0.9957024455070496
0.9909881949424744
0.9830259680747986
0.9450738430023193
0.4221305251121521
0.4198698401451111
0.40118199586868286
0.4010235667228699
0.3528234660625458
0.3373379409313202
0.30889225006103516"
03 - DE,"Was gehört zum Auditprogramm, das halbjährlich überprüft werden muss?",Audit Guideline – 2 Audit Programme,"Das Auditprogramm, das halbjährlich überprüft werden muss, umfasst alle geplanten und durchgeführten Audits. Dabei handelt es sich um eine Liste der geplanten Audits sowie die Ergebnisse aller Audits, einschließlich interner und externer Audits.

Quelle: Document: KISTERS_IS_Audits.pdf | Section: 2 Audit Programme","2 Audit Programme
2.2 Audit scopes
9.2 Internal audits
4.2 KPI\_Audits
Table of contents
1.4 Applicable legal and regulatory requirements
1.3 Roles, Responsibilities and Dependencies
Table of contents
7.3 Assessment of BC strategies
2 Result of the BIA pre-filter
3.3 Tests
3.4 Audits
4.6 Control
7.3 Assessment of BC strategies","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.30707859992980957
0.06792654097080231
0.033088479191064835
0.030187632888555527
0.026795046404004097
0.02354070357978344
0.018758753314614296
0.006552859675139189
0.002180138137191534
0.002034529345110059
0.00191631936468184
0.0016345909098163247
0.0012945258058607578
0.000978347728960216"
03 - EN,"What is included in the audit program, which must be reviewed every six months?",Audit Guideline – 2 Audit Programme,"According to the provided context[2], all planned audits as well as all conducted audits MUST be summarized in the 'KISTERS IS Audit Programme'. The Audit Programme is jointly managed by the CISO, the BCMO and the DPO and MUST be reviewed at least every six months and on any relevant change to the audit programme.","2 Audit Programme
2.2 Audit scopes
6.3.4 Confidential (I3)
4.3.4 Security areas (Z3)
9.2 Internal audits
4 Review of audit actions
6.2 Information security objectives and planning to achieve them
Table of contents
7.3 Assessment of BC strategies
7.5 Implementation of BC strategies and solutions
3.3 Tests
2 Result of the BIA pre-filter
4.6 Control
5.3 Organizational prerequisites","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Classification_AccessControl.pdf
KISTERS_IS_Classification_AccessControl.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_7-EP-Generic_Restore.pdf","0.9848373532295227
0.41107264161109924
0.14959445595741272
0.11282050609588623
0.09008795022964478
0.07431492209434509
0.05322050303220749
0.010755903087556362
0.007887504994869232
0.004816611763089895
0.003647277597337961
0.0033999276347458363
0.003310930682346225
0.0031921020708978176"
04 - DE,Wie wird eine Audit-ID gebildet und wozu wird sie verwendet?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“),"Laut dem Dokument ""KISTERS_IS_Audits.pdf | Section: 2 Audit Programme"" [1] muss die Audit-ID in der Form ""ISAyyyymm_&lt;Subject&gt;"" erstellt werden, wobei yyyymm das Jahr und den Monat darstellt. Die Audit-ID wird verwendet, um jeden Audit zu identifizieren.

[1] Dokument: KISTERS_IS_Audits.pdf | Section: 2 Audit Programme","2 Audit Programme
3.1 Organization of audit tickets
2.3.2 Execution
3.3.1 Combining Audit Actions into single tickets
4.2 KPI\_Audits
4.3 KPI\_AuditActions
6 Document History
Table of contents
8 References
Principles for logging
4.2 References
3.4 Audits
9.1.8.3 Members of Situational Extensions
5 Document history","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf","0.2528822422027588
0.12546245753765106
0.03104727528989315
0.03009648248553276
0.010698295198380947
0.007045851554721594
0.004169272258877754
0.00212816777639091
0.0019528293050825596
0.0009999392786994576
0.0009835819946601987
0.000825470604468137
0.0007969322614371777
0.000555371108930558"
04 - EN,How is an audit ID generated and what is it used for?,Audit Guideline – 2 Audit Programme (Audit-ID „ISAyyyymm_“),"According to the KISTERS IS Audits guideline, the Audit-ID MUST have the form: ""ISAyyyymm_<Subject>"" and MUST be assigned by the CISO, the BCMO or the DPO, respectively. This ID is used to identify each audit uniquely.

[2]","2 Audit Programme
3.1 Organization of audit tickets
2.3.2 Execution
3.3.1 Combining Audit Actions into single tickets
4.3 KPI\_AuditActions
4.2 KPI\_Audits
3.7 Logging of metadata (usage data)
7.3 Assessment of BC strategies
Table of contents
Table 6: RPO vs RPA
2 Result of the BIA pre-filter
3.4 Audits
3.3 Tests
Table 5: RTO vs RTA","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_KPIs.pdf
KISTERS_IS_Guideline_AuditLog.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_2-BCM-Results.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Results.pdf","0.1756255328655243
0.08186584711074829
0.02540493756532669
0.02330622635781765
0.008842355571687222
0.007302152458578348
0.003790296148508787
0.0016425747890025377
0.001472629141062498
0.0011905812425538898
0.0011504276189953089
0.0009827717440202832
0.0008976625977084041
0.0006801452254876494"
05 - DE,"Welche Themen fallen typischerweise in den Scope eines Audits bei KISTERS (z. B. ISMS, BCMS, technische Prüfungen)?",Audit Guideline – 2.2 Audit scopes,"Nach dem bereitgestellten Kontext fallen folgende Themen typischerweise in den Scope eines Audits bei KISTERS:

*   Internes und externes Audit des Informationssicherheitsmanagementsystems (ISMS)
*   Audit der Business Continuity Management Systematik (BCMS)
*   Technische Prüfungen
*   Audit von Compliance mit anderen Normen oder gesetzlichen Anforderungen (z.B. GDPR, TÜV-TSI, SOC 2)

Diese Themen werden im bereitgestellten Kontext ausdrücklich als Teil der Auditscope erwähnt und umfassen sowohl internale als auch externe Audits auf Basis von verschiedenen Normen und Anforderungen.

Quelle: KISTERS IS-Audits.pdf | Section: 2.2 Audit scopes","2.2 Audit scopes
2.1 Audit objectives
1.2 Scope
4.2.2 Negatively interested parties
9.2 Internal audits
12 Document history
4.3 Scope of the ISMS
1.2 Scope
8 References
1.1 Motivation and objectives
3.3 Tests
3.4 Audits
3 BIA pre-filter
4.3.3 Definition of resource categories","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Framework.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf","0.9903256893157959
0.9835967421531677
0.9507127404212952
0.8412525057792664
0.8037787675857544
0.7438596487045288
0.7315473556518555
0.626886785030365
0.5209249258041382
0.2833079695701599
0.22831839323043823
0.208254873752594
0.16861872375011444
0.14032693207263947"
05 - EN,"What topics typically fall within the scope of an audit at KISTERS (e.g., ISMS, BCMS, technical audits)?",Audit Guideline – 2.2 Audit scopes,"According to the provided context, the scope of an audit at KISTERS includes but is not limited to:

* Audits of the Information Security Management System (ISMS) by examining the implementation of measures according to the controls of ISO/IEC 27001, including controls from ISO/IEC 27017, ISO/IEC 27018, ISO/IEC 27019, ISO/IEC 27701, as applicable [1].
* Audits of the Business Continuity Management System (BCMS) by examining the implementation of measures according to the controls of ISO 22301 and BSI 200-4.
* Technical audits of KISTERS' internal and cloud-based IT infrastructure, including penetration tests.

These topics are mentioned in the context provided under Section 2.2 Audit scopes from Document: KISTERS_IS_Audits.pdf.","2.2 Audit scopes
1.2 Scope
2.1 Audit objectives
9.2 Internal audits
3.4 Special case: vendor audits by clients
12 Document history
1.3 Roles, Responsibilities and Dependencies
1.2 Scope
8 References
Result:
3 BIA pre-filter
3.3 Tests
10 References 1
3.4 Audits","KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_IS_Framework.pdf
KISTERS_IS_Audits.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_2-BCM-Process.pdf
KISTERS_BCM_3-BCP.pdf
KISTERS_BCM_1-BCHandbook.pdf
KISTERS_BCM_3-BCP.pdf","0.9935739636421204
0.9231612086296082
0.8783547878265381
0.8730326890945435
0.7687739729881287
0.7138446569442749
0.6973296403884888
0.7318803668022156
0.48178449273109436
0.2855739891529083
0.25944414734840393
0.21856233477592468
0.16959460079669952
0.16136476397514343"
